survived,sex,age,class,fare,adult_minor,dataset,age_was_imputed,passenger_crew
True,male,38.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,23.0,Saloon,,Adult,Lusitania,False,Passenger
False,female,47.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,44.0,Saloon,,Adult,Lusitania,False,Passenger
False,female,24.0,Saloon,,Adult,Lusitania,False,Passenger
True,female,23.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,28.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,63.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,41.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,34.0,Saloon,,Adult,Lusitania,False,Passenger
False,female,55.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,45.0,Saloon,,Adult,Lusitania,False,Passenger
False,female,45.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,37.0,Saloon,,Adult,Lusitania,False,Passenger
False,female,20.0,Saloon,,Adult,Lusitania,False,Passenger
True,female,49.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,26.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,40.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,47.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,49.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,43.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,56.0,Saloon,,Adult,Lusitania,False,Passenger
False,female,57.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,49.0,Saloon,,Adult,Lusitania,False,Passenger
True,female,59.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,48.0,Saloon,,Adult,Lusitania,False,Passenger
True,female,21.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,64.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,55.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,35.0,Saloon,,Adult,Lusitania,False,Passenger
True,female,25.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,53.0,Saloon,,Adult,Lusitania,False,Passenger
False,female,53.0,Saloon,,Adult,Lusitania,False,Passenger
False,female,42.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,44.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,9.0,Saloon,,Infant,Lusitania,False,Passenger
False,male,6.0,Saloon,,Minor,Lusitania,False,Passenger
False,male,9.0,Saloon,,Minor,Lusitania,False,Passenger
False,male,14.0,Saloon,,Minor,Lusitania,False,Passenger
False,female,37.0,Saloon,,Adult,Lusitania,False,Passenger
False,female,10.0,Saloon,,Minor,Lusitania,False,Passenger
False,female,12.0,Saloon,,Minor,Lusitania,False,Passenger
False,male,39.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,38.0,Saloon,,Adult,Lusitania,False,Passenger
True,male,35.0,Saloon,,Adult,Lusitania,False,Passenger
True,female,31.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,48.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,30.0,Saloon,,Adult,Lusitania,False,Passenger
False,female,43.0,Saloon,,Adult,Lusitania,False,Passenger
False,male,62.0,Saloon,,Adult,Lusitania,False,Passenger
False,female,24.0,Saloon,,Adult,Lusitania,False,Passenger
